Wedge,Timestamp,RFID,Mouse
70,8/19/21 0:29,48 48 48 49 51 48 51 52 49,280
70,8/19/21 0:29,48 48 48 49 51 48 50 53 50,283
70,8/19/21 0:29,48 48 48 49 51 48 51 52 49,280
30,8/19/21 0:28,48 48 48 48 55 50 56 57 55,103
70,8/19/21 0:25,48 48 48 49 51 48 51 57 50,298
70,8/19/21 0:24,48 48 48 49 51 48 50 54 49,297
70,8/19/21 0:23,48 48 48 49 51 48 51 49 57,282
30,8/19/21 0:19,48 48 48 48 55 50 56 57 55,103
70,8/19/21 0:18,48 48 48 49 51 48 51 57 50,298
3,8/19/21 0:14,48 48 48 48 55 50 56 56 48,311
14,8/19/21 0:13,48 48 48 49 51 48 50 53 54,277
71,8/19/21 0:12,48 48 48 48 55 50 56 56 48,311
70,8/19/21 0:11,48 48 48 49 51 48 50 50 57,300
71,8/19/21 0:08,48 48 48 48 55 50 56 56 48,311
70,8/19/21 0:04,48 48 48 49 51 48 51 52 49,280
70,8/19/21 0:04,48 48 48 49 51 48 51 52 49,280
10,8/19/21 0:04,48 48 48 49 51 48 50 54 49,297
10,8/19/21 0:03,48 48 48 49 51 48 50 54 49,297
70,8/19/21 0:02,48 48 48 49 51 48 51 49 57,282
70,8/19/21 0:00,48 48 48 49 51 48 51 51 57,292
70,8/19/21 0:00,48 48 48 49 51 48 50 50 48,275
30,8/18/21 23:59,48 48 48 49 51 48 51 55 50,117
30,8/18/21 23:59,48 48 48 49 51 48 51 55 50,117
70,8/18/21 23:59,48 48 48 49 51 48 50 53 50,283
70,8/18/21 23:53,48 48 48 49 51 48 51 49 55,273
70,8/18/21 23:53,48 48 48 49 51 48 50 57 48,274
70,8/18/21 23:50,48 48 48 49 51 48 50 51 55,287
70,8/18/21 23:50,48 48 48 49 51 48 50 57 50,291
70,8/18/21 23:44,48 48 48 49 51 48 50 53 54,277
70,8/18/21 23:42,48 48 48 49 51 48 51 57 50,298
70,8/18/21 23:39,48 48 48 49 51 48 50 57 48,274
70,8/18/21 23:37,48 48 48 49 51 48 50 53 54,277
70,8/18/21 23:34,48 48 48 49 51 48 51 57 50,298
70,8/18/21 23:34,48 48 48 49 51 48 50 51 55,287
70,8/18/21 23:33,48 48 48 49 51 48 50 53 54,277
70,8/18/21 23:29,48 48 48 49 51 48 51 51 57,292
70,8/18/21 23:29,48 48 48 49 51 48 50 53 54,277
70,8/18/21 23:29,48 48 48 49 51 48 50 57 50,291
70,8/18/21 23:22,48 48 48 49 51 48 50 50 48,275
14,8/18/21 23:13,48 48 48 49 51 48 50 57 48,274
14,8/18/21 23:13,48 48 48 49 51 48 50 57 48,274
10,8/18/21 23:10,48 48 48 49 51 48 50 53 54,277
70,8/18/21 23:09,48 48 48 49 51 48 50 53 51,284
70,8/18/21 23:07,48 48 48 49 51 48 51 49 55,273
70,8/18/21 23:02,48 48 48 49 51 48 51 54 54,294
71,8/18/21 23:01,48 48 48 48 55 50 56 56 48,311
30,8/18/21 23:00,48 48 48 48 55 50 56 57 55,103
71,8/18/21 22:57,48 48 48 48 55 50 56 56 48,311
70,8/18/21 22:54,48 48 48 49 51 48 50 51 55,287
70,8/18/21 22:53,48 48 48 49 51 48 51 50 56,289
30,8/18/21 22:48,48 48 48 48 55 50 56 57 55,103
70,8/18/21 22:47,48 48 48 49 51 48 50 53 51,284
70,8/18/21 22:42,48 48 48 49 51 48 50 51 55,287
70,8/18/21 22:41,48 48 48 49 51 48 51 54 54,294
70,8/18/21 22:40,48 48 48 49 51 48 51 57 50,298
70,8/18/21 22:39,48 48 48 49 51 48 51 50 56,289
70,8/18/21 22:36,48 48 48 49 51 48 51 57 50,298
30,8/18/21 22:33,48 48 48 49 51 48 51 55 50,117
30,8/18/21 22:33,48 48 48 49 51 48 51 55 50,117
7,8/18/21 22:32,48 48 48 48 55 50 56 57 55,103
